,Betweenness
1216,3.0618561044283038e-06
1256,2.4157876912073506e-05
1309,0.00013170969457439042
1310,0.0
1410,6.23746759714309e-05
1421,1.079856092196136e-05
2471,7.368651897783034e-05
3424,0.0026374582212130397
6827,0.0
7157,1.888550355178855e-05
7831,0.0
8199,0.0007478089528141071
8640,0.0
8701,0.0012042951016430733
9804,0.0004956990107727638
10833,5.5994930081167613e-05
11480,0.0002100788097837144
11629,4.436799979030285e-06
11790,0.0
12935,0.0
12962,0.0
14450,9.253888285336638e-05
14778,0.00035855177547145824
18047,2.2927261417559484e-05
18429,7.838476174837598e-06
19135,1.7607087594857748e-05
20099,5.254522884151349e-05
20748,0.00023503350179781846
20920,0.0008398408682469324
21349,0.0008884364177517072
23487,0.0015153354841254984
23658,0.0
25886,0.0017906440490539149
28828,1.384675707521237e-07
29351,0.0006314439649873115
30066,3.2092051860456827e-06
30323,3.525675341483135e-06
30454,0.0008448495855406312
33421,0.0003209396789482521
34541,8.630663254629541e-05
34804,0.0008750138040693893
35131,0.0006348575803041195
37589,0.0
39532,0.0
42283,0.001263847244357267
43312,0.0
44783,0.0
45351,0.0008644648518112396
45455,3.579659189566816e-05
45750,0.0004022573986925234
47602,0.0011007539259484207
48427,0.0
48607,0.000223555935117819
49686,0.0008658669702389424
52565,4.1964407872673055e-05
53129,0.00042654329706891627
54947,0.00011262578277497608
56157,0.00010463346948552816
60927,0.0004697527266256117
61745,0.005547960879773395
62674,7.060926130615353e-05
62879,0.000880889250541231
68110,0.0
68587,0.0
70427,0.00025302973030006336
71237,0.0009289645452986527
71972,0.00024495720525379884
73683,0.0004361451305447621
74026,0.0026645550088074533
74341,2.1537812156625505e-05
74385,0.00041167804448040657
74790,0.0003949697138540982
77185,0.0
78787,0.0010509679791406022
81441,0.0014082150332026526
82899,0.00025602717030339664
83552,0.0009369319868473401
85830,0.0005176357786759714
91135,0.0001226550754144817
91812,0.00029698024668213405
93116,0.0008952229684860856
94620,0.0006064366836138888
98961,0.0012567236516545966
99072,0.0006061034115588485
100939,1.6504481821991274e-07
102317,0.0
104332,0.000186097495850159
104962,0.0005347283343535756
104992,0.0015003500670974028
105117,0.0006748970831922902
106714,0.00032882938912829544
106837,0.0003454060030831449
107138,0.00033536843875632143
108023,0.000780217869105448
108945,0.001743045759703915
109121,0.0013708958789194468
109405,0.00031294365689425296
110666,7.25826204946597e-05
113065,1.6379348301250056e-07
19351,0.0002852248768016129
99443,7.055712193486059e-08
113908,0.0002045724045391538
115054,4.752028060045138e-06
117839,3.0984871244133757e-05
119727,0.001101788730334209
120821,1.0545629011671723e-05
121025,0.0
121390,0.0
121523,9.419935624716203e-05
123156,0.0
124990,0.00041057605609886064
125433,0.00025887257646891535
126572,0.00041187057407294673
127616,0.0010121530779216598
128147,0.00014866958794699663
128223,0.0
128789,0.0
129038,0.0
130114,0.00016572280049473146
137017,0.00031284833872920035
138462,0.0004497204602977693
139638,0.0003166008983243245
143508,0.0006856734747680933
144331,0.0002759261105939872
146466,0.00020302608035889023
148410,0.00021974021919047608
149572,0.0007311197841116013
149782,0.0009057586056115684
149890,0.00024649329316185674
149949,0.0008514140135026402
150797,0.0002217137629154667
2700,2.459774498068338e-08
6062,0.0
29037,2.013027131199348e-05
47695,1.7018605562804225e-05
49160,4.355241328005678e-05
113484,9.960463662940028e-05
113675,6.969825423685526e-05
114073,0.0
114595,0.00010893893269944252
114694,7.075785207323853e-05
115408,0.0
118068,5.745817590039221e-05
118334,7.313512523946833e-05
118684,2.949145793837251e-05
118737,0.00033155326672709625
119326,1.401708237189144e-05
119693,1.6670428420160145e-05
119843,0.00013361389039967634
120456,0.0002355219737962901
121799,7.885721067433672e-07
121809,0.0003760561493710496
122102,2.163424153850124e-05
122340,6.417816659929764e-05
122695,0.00018083718967863778
123013,7.43577211803612e-05
123273,0.00032546501433090803
124785,8.3002987728938e-05
125679,4.851338261262168e-05
126285,0.0002673634784021596
127579,2.881164229325056e-06
128147,0.00014866958794699663
128588,8.684579917306084e-05
128624,0.0
128760,2.6330570892580663e-05
128967,8.402882898920534e-05
129008,5.857982707580609e-05
129572,0.00019893177827355892
129701,0.0002229088516330672
129757,0.0
129760,5.067253967217911e-06
130643,9.006680027903568e-07
132495,0.0
133061,0.00010350445746295
133193,0.0001152557106356834
133823,2.8592718698385883e-05
136205,4.349479034513645e-05
136405,5.8486331601001976e-05
136754,6.581759104161395e-07
139900,6.0932399075411476e-05
140097,0.00010124660481469203
140511,0.00023486993446721307
142156,6.998884631145227e-05
143736,0.00047614093180145967
144221,3.778090050447917e-05
144276,0.00040155080047678813
144574,2.727083433716035e-05
145444,7.35157067234364e-05
145629,0.00014458825700285085
147890,0.0001251399043353594
148124,4.454607356633022e-05
148701,0.00024964954309528723
149116,7.553824493192832e-05
150390,7.111260915426428e-05
150641,0.0
151277,8.954228766034539e-05
